,course_id,theme_id,user_id,problem_duration_graded,problem_duration_ungraded,messagiesNum,video_duration
87,course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,22331,35440.046632,0.0,0,0.0
88,course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,28864,64195.87142099999,0.0,0,0.0
89,course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,56215,639.887342,0.0,0,0.0
90,course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,237133,1802.621242,0.0,0,0.0
91,course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,243054,1068.257246,0.0,0,0.0
92,course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,259731,107313.195416,0.0,0,0.0
93,course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,394310,27.985033,0.0,0,0.0
94,course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,444404,17720.023316,0.0,0,0.0
95,course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,467046,160675.76796,0.0,0,0.0
96,course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,486614,53212.187574,0.0,0,0.0
97,course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,493875,13889.233462,0.0,0,0.0
98,course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,554852,118137.32351799999,0.0,0,0.0
99,course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,559517,191943.89158,0.0,0,0.0
100,course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,559616,1680.223856,0.0,0,0.0
101,course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,595666,575831.67474,0.0,0,0.0
120,course-v1:spbu+SOCLAB+spring_2018,6a2492000afc4074b8e4a64c42a08820,22331,36.036204,36.036204,0,1418.601721
121,course-v1:spbu+SOCLAB+spring_2018,6a2492000afc4074b8e4a64c42a08820,28864,135.135765,171.637052,0,1114.918049
122,course-v1:spbu+SOCLAB+spring_2018,6a2492000afc4074b8e4a64c42a08820,48168,18.018102,42.909263,0,0.0
