course_id,theme_id,user_id,problem_duration_graded,problem_duration_ungraded,messagiesNum,video_duration
course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,22331.0,0.0,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,28864.0,64195.87142099999,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,56215.0,639.887342,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,65134.0,0.0,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,125037.0,0.0,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,237133.0,0.0,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,243054.0,1068.257246,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,259731.0,107313.195416,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,286090.0,0.0,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,394310.0,0.0,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,444404.0,0.0,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,467046.0,160675.76796,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,486614.0,0.0,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,493875.0,13889.233462,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,554852.0,0.0,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,558767.0,0.0,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,559517.0,0.0,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,559616.0,1680.223856,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,27688ee203c144bb83cff0cceab9a483,595666.0,575831.67474,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,6a2492000afc4074b8e4a64c42a08820,22331.0,0.0,18.018102,0.0,1418.601721
course-v1:spbu+SOCLAB+spring_2018,6a2492000afc4074b8e4a64c42a08820,28864.0,0.0,135.600848,0.0,1114.918049
course-v1:spbu+SOCLAB+spring_2018,6a2492000afc4074b8e4a64c42a08820,48168.0,0.0,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,6a2492000afc4074b8e4a64c42a08820,56215.0,0.0,2.391006,0.0,1412.352582
course-v1:spbu+SOCLAB+spring_2018,6a2492000afc4074b8e4a64c42a08820,65134.0,0.0,3.376859,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,6a2492000afc4074b8e4a64c42a08820,125037.0,0.0,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,6a2492000afc4074b8e4a64c42a08820,154690.0,0.0,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,6a2492000afc4074b8e4a64c42a08820,185925.0,0.0,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,6a2492000afc4074b8e4a64c42a08820,237133.0,0.0,283.70669,0.0,539.46038
course-v1:spbu+SOCLAB+spring_2018,6a2492000afc4074b8e4a64c42a08820,245335.0,0.0,0.0,0.0,30.580561
course-v1:spbu+SOCLAB+spring_2018,6a2492000afc4074b8e4a64c42a08820,255151.0,0.0,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,6a2492000afc4074b8e4a64c42a08820,257848.0,0.0,0.0,0.0,0.0
course-v1:spbu+SOCLAB+spring_2018,6a2492000afc4074b8e4a64c42a08820,259731.0,0.0,0.0,0.0,17.765372
