P_P,P_T,P_TE,P_V,TS_P,TS_T,TS_V,T_P,T_T,T_TE,T_V,V_P,V_T,V_TE,V_V
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.04166666666666666,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.4107142857142857,0.5892857142857143
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285
0.0,0.0,0.5,0.5,0.04,0.0,0.96,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.2891566265060241,0.6987951807228916
0.25,0.0,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04891304347826087,0.0,0.2554347826086957,0.6956521739130435
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2
0.0,0.0,1.0,0.0,0.022727272727272728,0.0,0.9772727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.3115942028985507,0.6884057971014492
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.5555555555555556
0.08333333333333333,0.0,0.0,0.9166666666666666,0.06,0.0,0.94,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.2358490566037736,0.7264150943396226
0.0,0.0,0.0,1.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.1176470588235294,0.0,0.5882352941176471,0.29411764705882354
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.625
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.38461538461538464
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1176470588235294,0.0,0.7058823529411765,0.17647058823529413
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.375
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4017857142857143,0.5982142857142857
