problem_duration_graded,problem_duration_ungraded,messagiesNum,video_duration
0.0,0.0,13,0.0
0.0,18.018102,3,1418.601721
0.0,2.391006,22,1412.352582
0.0,3.3768589999999996,22,0.0
0.0,0.0,7,111.445982
0.0,0.0,18,17.765372
0.0,159.730423,23,0.0
0.0,0.0,18,763.4974119999998
0.0,0.0,23,1416.210707
0.0,0.0,14,1408.763396
0.0,0.0,13,939.6542400000001
0.0,0.0,17,728.263407
0.0,0.0,8,448.83473899999996
0.0,0.0,28,1234.1643689999999
0.0,0.0,26,1243.829451
0.0,19.268399,7,0.0
0.0,0.0,8,280.741265
0.0,14.839607,4,523.416167
0.0,0.0,2,15.20597
0.0,0.0,20,505.239417
0.0,0.0,9,1294.290662
0.0,39.879096000000004,15,1293.3628199999998
0.0,19.545268,27,0.0
0.0,0.0,15,177.6232
0.0,0.0,15,22.763793
0.0,0.0,23,636.670015
0.0,0.0,20,1394.756782
0.0,0.0,24,1393.770667
0.0,0.0,20,930.8570300000001
0.0,0.0,12,951.976993
0.0,0.0,1,828.5967730000001
0.0,52.484444999999994,19,0.0
0.0,112.83178000000001,16,0.0
0.0,155.944343,20,0.0
0.0,0.0,13,674.699976
0.0,0.0,28,1090.9030619999999
0.0,51.455148,17,0.0
0.0,0.0,14,134.018117
0.0,0.0,25,1067.051831
0.0,63.320485999999995,14,1053.149865
0.0,0.0,14,418.171721
0.0,0.0,18,393.99035
0.0,0.0,26,421.727601
0.0,0.0,12,910.8472
0.0,0.0,3,695.80635
0.0,0.0,21,1135.449693
0.0,0.0,26,1065.198539
0.0,0.0,7,744.062723
0.0,0.0,22,184.639249
0.0,0.0,15,1078.71037
0.0,0.0,10,161.32681399999996
0.0,0.0,27,1512.4422710000006
0.0,0.0,2,162.12458999999998
0.0,0.0,25,128.093723
0.0,0.0,19,922.2124689999999
0.0,0.0,15,1068.656468
0.0,0.0,11,854.892844
0.0,0.0,25,416.83648900000003
0.0,0.0,18,1067.324534
0.0,56.543655,29,0.0
0.0,32.165693,5,77.39860300000001
0.0,0.0,8,1408.255643
0.0,0.0,0,702.7177730000001
0.0,0.0,21,268.96310600000004
0.0,0.0,2,759.2226799999999
0.0,0.0,22,856.180799
0.0,43.665838,17,1099.084581
0.0,0.0,9,716.6585569999999
0.0,0.0,19,1069.896362
0.0,0.0,4,815.243674
0.0,0.0,20,2167.3329170000006
0.0,0.0,28,1076.284814
0.0,0.0,19,2310.030762000001
0.0,25.901374,24,164.56037800000001
0.0,0.0,7,1161.0647339999996
0.0,36.013284000000006,16,1068.22906
0.0,0.0,17,251.81240099999997
0.0,0.0,16,1311.810085
0.0,0.0,2,1387.6948730000001
0.0,105.699274,10,0.0
0.0,0.0,26,17.273081
0.0,0.0,0,509.705369
0.0,0.0,16,2322.840424
0.0,0.0,14,2310.203557
0.0,0.0,16,1541.831403
0.0,0.0,11,1682.7334889999993
0.0,0.0,19,2328.711501
0.0,36.122557,1,0.0
0.0,26.058813,3,0.0
0.0,4.520791,13,0.0
0.0,0.0,7,2421.8660090000008
0.0,0.0,27,931.9908939999999
0.0,0.0,28,1626.237047
0.0,0.0,11,507.510663
0.0,0.0,22,1632.7849199999998
0.0,0.0,28,580.3850649999998
0.0,0.0,26,927.600534
0.0,0.0,19,37.671399
0.0,0.0,23,1978.650426
0.0,0.0,17,1117.666932
0.0,0.0,19,1391.412995
0.0,87.697925,25,0.0
0.0,0.0,2,925.484179
0.0,0.0,17,708.1301220000005
0.0,0.0,4,943.7099009999997
0.0,0.0,25,1392.8681789999998
0.0,0.0,9,1418.773914
0.0,37.302164000000005,1,0.0
0.0,77.635426,26,0.0
0.0,179.599656,12,0.0
0.0,156.417325,23,0.0
0.0,0.0,16,1600.229527
0.0,0.0,14,2402.473549
0.0,0.0,16,1481.0926039999995
0.0,0.0,23,2368.626061
0.0,0.0,17,1921.4480200000005
0.0,0.0,17,1128.33982
0.0,0.0,2,1251.2857470000001
0.0,0.0,13,260.868433
0.0,0.0,16,2570.792696999999
0.0,0.0,14,907.2911439999999
0.0,0.0,7,1674.844467
0.0,0.0,28,1.8935509999999998
0.0,0.0,5,1707.5675150000004
0.0,0.0,13,906.691516
0.0,0.0,4,1088.593477
0.0,18.279514000000002,22,0.0
0.0,0.0,3,896.424708
0.0,0.0,23,1363.430712
0.0,21.947701000000002,3,991.637783
0.0,112.23498400000001,15,0.0
0.0,63.138983999999994,25,0.0
0.0,0.0,7,495.924257
0.0,0.0,6,877.7910449999998
0.0,0.0,6,495.521685
0.0,0.0,22,3.570647
0.0,0.0,13,28.93458
0.0,0.0,15,330.95092200000005
0.0,0.0,12,330.1912930000001
0.0,0.0,8,495.90604299999995
0.0,25.994404,24,0.0
0.0,0.0,1,526.065106
0.0,0.0,22,875.0798900000001
0.0,0.0,15,957.8703890000003
0.0,0.0,27,872.9722949999999
0.0,0.0,24,583.550713
0.0,0.0,7,581.971043
0.0,0.0,1,576.53877
0.0,0.0,17,873.6710899999998
0.0,19.564104,5,0.0
0.0,0.0,5,240.758106
0.0,0.0,0,368.76567
0.0,52.339407,9,398.271379
0.0,0.0,15,359.69665200000003
0.0,0.0,27,353.12987599999997
0.0,0.0,17,150.028705
0.0,0.0,6,147.167052
0.0,0.0,2,240.09535899999997
0.0,4.277266,21,8.639807000000001
0.0,0.0,13,361.592034
0.0,0.0,13,370.691685
0.0,39.172164,10,0.0
0.0,0.0,15,288.828496
0.0,0.0,8,360.642965
0.0,52.881416,2,360.514446
0.0,17.278085,28,0.0
0.0,37.836114,22,111.765431
0.0,0.0,4,108.2488
0.0,0.0,4,240.374494
0.0,162.479306,8,0.0
0.0,0.0,9,212.89706600000002
0.0,0.0,4,242.135066
0.0,0.0,6,435.477788
0.0,52.682424,8,366.19979700000005
0.0,0.0,22,360.958502
0.0,0.0,12,361.978408
0.0,0.0,7,365.945735
0.0,14.256532,18,1199.246339
0.0,10.383969,23,0.0
0.0,43.36449,13,0.0
0.0,55.8682,17,365.56461
0.0,0.0,19,1380.035653
0.0,0.0,11,983.311576
0.0,0.0,21,924.535903
0.0,0.0,10,341.73794300000003
0.0,0.0,11,617.0223219999999
0.0,0.0,19,617.98475
0.0,0.0,26,610.903726
0.0,0.0,13,72.560714
0.0,27.284259000000002,23,0.0
0.0,0.0,10,1120.41298
0.0,0.0,15,1679.6131050000001
0.0,0.0,4,1659.594324
0.0,0.0,19,1262.0534889999994
0.0,0.0,7,820.239552
0.0,0.0,10,1343.7510109999998
0.0,77.372292,7,0.0
0.0,0.0,9,1105.946564
0.0,0.0,21,1702.8720560000004
0.0,0.0,7,294.612015
0.0,27.985033,3,0.0
0.0,64.841633,11,0.0
0.0,0.0,7,1084.5681029999998
0.0,0.0,15,1077.2478150000004
0.0,0.0,29,719.952884
0.0,0.0,0,722.948238
0.0,0.0,6,704.9733570000002
0.0,0.0,15,1104.7554619999999
0.0,36.960615000000004,10,0.0
0.0,25.084054000000002,15,0.0
0.0,73.15137800000001,12,0.0
0.0,0.0,28,6.5318380000000005
0.0,0.0,4,22.533035
0.0,0.0,2,35.177299
0.0,0.0,12,67.057537
0.0,0.0,26,1.6382649999999999
0.0,0.0,9,128.377082
0.0,0.0,15,32.454747
0.0,0.0,25,423.72027599999996
0.0,0.0,0,58.326069999999994
0.0,0.0,15,1530.6271619999998
0.0,0.0,8,1266.1329830000002
0.0,0.0,25,1892.445534
0.0,0.0,16,1107.1474489999996
0.0,0.0,24,0.0
0.0,0.0,21,1444.960096
0.0,0.0,24,1778.5610150000007
0.0,0.0,27,1563.709395
0.0,0.0,24,1090.5919279999998
0.0,0.0,7,893.5165109999997
0.0,0.0,19,1331.618237
0.0,0.0,18,52.787216
0.0,0.0,25,47.988198
0.0,0.0,2,45.020453
0.0,0.0,27,70.354637
0.0,0.0,16,392.83299900000003
0.0,0.0,24,392.645762
0.0,0.0,19,1054.145296
0.0,0.0,12,761.2092759999999
0.0,0.0,4,1060.524762
0.0,0.0,15,1080.23696
0.0,0.0,25,1671.806285
0.0,0.0,22,703.0168530000001
0.0,0.0,3,1127.178899
0.0,0.0,5,1326.873493
0.0,0.0,3,1038.8958220000002
0.0,0.0,3,1255.372212
0.0,0.0,11,700.755359
0.0,0.0,13,438.70447800000005
0.0,0.0,27,48.675451
0.0,0.0,19,5.794917
0.0,0.0,9,131.93543799999998
0.0,0.0,8,329.623631
0.0,0.0,10,160.614969
0.0,0.0,13,392.91414
0.0,0.0,6,331.20646199999993
0.0,0.0,22,233.700116
0.0,0.0,23,103.39497800000001
0.0,0.0,24,31.277471999999996
0.0,0.0,7,160.428821
0.0,0.0,5,120.30365800000001
0.0,0.0,13,239.28653799999998
0.0,0.0,21,21.106181
0.0,0.0,25,392.976244
0.0,0.0,11,49.385584
0.0,0.0,2,392.9632
0.0,0.0,2,237.018938
0.0,0.0,3,388.096351
0.0,0.0,28,392.68781
0.0,0.0,10,785.0209130000002
0.0,0.0,22,55.604933
0.0,0.0,6,9.888575999999999
0.0,0.0,22,69.19635800000002
0.0,0.0,8,394.564052
0.0,0.0,12,424.186558
0.0,0.0,17,134.777022
0.0,0.0,18,1095.6544529999999
0.0,0.0,26,366.851265
0.0,0.0,10,695.325756
0.0,0.0,1,131.61426999999998
0.0,0.0,9,450.44031600000017
0.0,0.0,23,532.569062
0.0,0.0,12,166.224646
0.0,0.0,28,238.369959
0.0,0.0,29,257.550927
0.0,0.0,29,239.973045
0.0,0.0,7,331.9189800000001
0.0,0.0,9,493.645908
0.0,0.0,9,621.7284080000002
0.0,0.0,4,114.23542900000001
0.0,0.0,17,94.780985
0.0,0.0,28,117.129825
0.0,0.0,26,102.12522299999999
0.0,0.0,20,480.73860099999996
0.0,0.0,29,230.840332
0.0,0.0,10,86.288637
0.0,0.0,10,40.003658
0.0,0.0,28,254.26811800000002
0.0,0.0,13,201.179268
0.0,0.0,5,547.969897
0.0,0.0,28,437.496492
0.0,0.0,13,688.606076
0.0,0.0,29,28.554907
0.0,0.0,4,80.577135
0.0,0.0,8,18.527951
0.0,0.0,15,466.41107800000003
0.0,0.0,0,52.144538
0.0,0.0,0,93.763837
0.0,0.0,16,314.20510099999996
0.0,0.0,28,606.8217950000002
0.0,0.0,26,596.306766
0.0,0.0,26,836.169878
