course_id,problem_type,time,user_id,action
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-18T15:06:56.345612+00:00,350494.0,ungraded ecfeeb42583542189db859f396796d5e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-18T16:57:21.328798+00:00,87206.0,ungraded b155db0dc55248a3ab426a38a188f6f7
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-22T13:10:33.994895+00:00,492510.0,ungraded 44186624966e46008ab50b00e2f1fd7f
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-22T10:18:19.275620+00:00,185925.0,ungraded 44186624966e46008ab50b00e2f1fd7f
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-24T08:00:38.402969+00:00,56215.0,ungraded 668ace1af09f4117ad6c5205119fb4c2
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-18T17:19:34.682002+00:00,444404.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-19T11:31:27.120166+00:00,556103.0,ungraded b155db0dc55248a3ab426a38a188f6f7
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-19T12:15:45.297811+00:00,28864.0,ungraded ecfeeb42583542189db859f396796d5e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-24T10:21:04.142085+00:00,56215.0,ungraded d339099c7852414295f53f84d524b507
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-22T11:41:18.482743+00:00,493875.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-19T12:39:36.062261+00:00,453625.0,ungraded b155db0dc55248a3ab426a38a188f6f7
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-18T21:27:49.369343+00:00,28864.0,ungraded 203f3ee09e9d45c481cce02c87634d6b
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-24T10:55:26.443382+00:00,14608.0,ungraded 668ace1af09f4117ad6c5205119fb4c2
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-24T18:31:12.505600+00:00,554852.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-24T18:31:15.699851+00:00,554852.0,graded 6bb4aec533fb457f96c416119f28e58c
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-18T22:31:33.486834+00:00,486614.0,graded 6bb4aec533fb457f96c416119f28e58c
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-22T12:09:59.819061+00:00,493875.0,graded 4015da5e81154bf3b1c0768d093e259e
course-v1:spbu+SOCLAB+spring_2018,graded,2018-02-22T12:10:00.925732+00:00,493875.0,graded 6bb4aec533fb457f96c416119f28e58c
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-22T12:14:23.338684+00:00,492510.0,ungraded 668ace1af09f4117ad6c5205119fb4c2
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-22T12:58:44.776609+00:00,467046.0,ungraded ecfeeb42583542189db859f396796d5e
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-24T19:44:39.207621+00:00,486614.0,ungraded 668ace1af09f4117ad6c5205119fb4c2
course-v1:spbu+SOCLAB+spring_2018,ungraded,2018-02-26T09:11:52.011112+00:00,185925.0,ungraded 44186624966e46008ab50b00e2f1fd7f
